utc,local,celsius
2017-09-01T20:52:56+00:00,2017-09-01T22:52:56+02:00,23.18
2017-09-01T21:07:56+00:00,2017-09-01T23:07:56+02:00,23.18
2017-09-01T21:22:56+00:00,2017-09-01T23:22:56+02:00,23.18
2017-09-01T21:37:56+00:00,2017-09-01T23:37:56+02:00,23.31
2017-09-01T21:52:56+00:00,2017-09-01T23:52:56+02:00,23.31
2017-09-01T22:07:56+00:00,2017-09-02T00:07:56+02:00,23.18
2017-09-01T22:22:56+00:00,2017-09-02T00:22:56+02:00,23.18
2017-09-01T22:37:57+00:00,2017-09-02T00:37:57+02:00,23.12
2017-09-01T22:52:58+00:00,2017-09-02T00:52:58+02:00,23.12
2017-09-01T23:07:58+00:00,2017-09-02T01:07:58+02:00,23.06
2017-09-01T23:22:58+00:00,2017-09-02T01:22:58+02:00,23.01
2017-09-01T23:37:59+00:00,2017-09-02T01:37:59+02:00,23.01
2017-09-01T23:52:59+00:00,2017-09-02T01:52:59+02:00,22.94
2017-09-02T00:07:59+00:00,2017-09-02T02:07:59+02:00,22.94
2017-09-02T00:23:00+00:00,2017-09-02T02:23:00+02:00,22.94
2017-09-02T00:38:00+00:00,2017-09-02T02:38:00+02:00,22.88
2017-09-02T00:53:00+00:00,2017-09-02T02:53:00+02:00,22.88
2017-09-02T01:08:00+00:00,2017-09-02T03:08:00+02:00,22.82
2017-09-02T01:23:00+00:00,2017-09-02T03:23:00+02:00,22.82
2017-09-02T01:38:00+00:00,2017-09-02T03:38:00+02:00,22.82
2017-09-02T01:53:01+00:00,2017-09-02T03:53:01+02:00,22.75
2017-09-02T02:08:02+00:00,2017-09-02T04:08:02+02:00,22.75
2017-09-02T02:23:03+00:00,2017-09-02T04:23:03+02:00,22.69
2017-09-02T02:38:03+00:00,2017-09-02T04:38:03+02:00,22.69
2017-09-02T02:53:03+00:00,2017-09-02T04:53:03+02:00,22.69
2017-09-02T03:08:04+00:00,2017-09-02T05:08:04+02:00,22.63
2017-09-02T03:23:04+00:00,2017-09-02T05:23:04+02:00,22.63
2017-09-02T03:38:04+00:00,2017-09-02T05:38:04+02:00,22.63
2017-09-02T03:53:05+00:00,2017-09-02T05:53:05+02:00,22.56
2017-09-02T04:08:05+00:00,2017-09-02T06:08:05+02:00,22.56
2017-09-02T04:23:05+00:00,2017-09-02T06:23:05+02:00,22.51
2017-09-02T04:38:05+00:00,2017-09-02T06:38:05+02:00,22.51
2017-09-02T04:53:05+00:00,2017-09-02T06:53:05+02:00,22.51
2017-09-02T05:08:05+00:00,2017-09-02T07:08:05+02:00,22.45
2017-09-02T05:23:05+00:00,2017-09-02T07:23:05+02:00,22.45
2017-09-02T05:38:05+00:00,2017-09-02T07:38:05+02:00,22.45
2017-09-02T05:53:05+00:00,2017-09-02T07:53:05+02:00,22.45
2017-09-02T06:08:05+00:00,2017-09-02T08:08:05+02:00,22.45
2017-09-02T06:23:05+00:00,2017-09-02T08:23:05+02:00,22.45
2017-09-02T06:38:05+00:00,2017-09-02T08:38:05+02:00,22.39
2017-09-02T06:53:05+00:00,2017-09-02T08:53:05+02:00,22.39
2017-09-02T07:08:05+00:00,2017-09-02T09:08:05+02:00,22.39
2017-09-02T07:23:05+00:00,2017-09-02T09:23:05+02:00,22.39
2017-09-02T07:38:05+00:00,2017-09-02T09:38:05+02:00,22.39
2017-09-02T07:53:05+00:00,2017-09-02T09:53:05+02:00,22.32
2017-09-02T08:08:05+00:00,2017-09-02T10:08:05+02:00,22.32
2017-09-02T08:23:05+00:00,2017-09-02T10:23:05+02:00,22.32
2017-09-02T08:38:05+00:00,2017-09-02T10:38:05+02:00,22.32
2017-09-02T08:53:05+00:00,2017-09-02T10:53:05+02:00,22.32
2017-09-02T09:08:05+00:00,2017-09-02T11:08:05+02:00,22.39
2017-09-02T09:23:06+00:00,2017-09-02T11:23:06+02:00,22.39
2017-09-02T09:38:06+00:00,2017-09-02T11:38:06+02:00,22.39
2017-09-02T09:53:06+00:00,2017-09-02T11:53:06+02:00,22.39
2017-09-02T10:08:06+00:00,2017-09-02T12:08:06+02:00,22.45
2017-09-02T10:23:07+00:00,2017-09-02T12:23:07+02:00,22.45
2017-09-02T10:38:07+00:00,2017-09-02T12:38:07+02:00,22.45
2017-09-02T10:53:07+00:00,2017-09-02T12:53:07+02:00,22.45
2017-09-02T11:08:07+00:00,2017-09-02T13:08:07+02:00,22.45
2017-09-02T11:23:08+00:00,2017-09-02T13:23:08+02:00,22.45
2017-09-02T11:38:08+00:00,2017-09-02T13:38:08+02:00,22.45
2017-09-02T11:53:08+00:00,2017-09-02T13:53:08+02:00,22.39
2017-09-02T12:08:08+00:00,2017-09-02T14:08:08+02:00,22.39
2017-09-02T12:23:08+00:00,2017-09-02T14:23:08+02:00,22.39
2017-09-02T12:38:08+00:00,2017-09-02T14:38:08+02:00,22.39
2017-09-02T12:53:08+00:00,2017-09-02T14:53:08+02:00,22.39
2017-09-02T13:08:08+00:00,2017-09-02T15:08:08+02:00,22.39
2017-09-02T13:23:08+00:00,2017-09-02T15:23:08+02:00,22.39
2017-09-02T13:38:08+00:00,2017-09-02T15:38:08+02:00,22.39
2017-09-02T13:53:08+00:00,2017-09-02T15:53:08+02:00,22.39
2017-09-02T14:08:10+00:00,2017-09-02T16:08:10+02:00,22.39
2017-09-02T14:23:11+00:00,2017-09-02T16:23:11+02:00,22.39
2017-09-02T14:38:11+00:00,2017-09-02T16:38:11+02:00,22.45
2017-09-02T14:53:11+00:00,2017-09-02T16:53:11+02:00,22.45
2017-09-02T15:08:11+00:00,2017-09-02T17:08:11+02:00,22.45
2017-09-02T15:23:12+00:00,2017-09-02T17:23:12+02:00,22.45
2017-09-02T15:38:12+00:00,2017-09-02T17:38:12+02:00,22.45
2017-09-02T15:53:13+00:00,2017-09-02T17:53:13+02:00,22.45
2017-09-02T16:08:13+00:00,2017-09-02T18:08:13+02:00,22.51
2017-09-02T16:23:13+00:00,2017-09-02T18:23:13+02:00,22.51
2017-09-02T16:38:13+00:00,2017-09-02T18:38:13+02:00,22.51
2017-09-02T16:53:14+00:00,2017-09-02T18:53:14+02:00,22.51
2017-09-02T17:08:14+00:00,2017-09-02T19:08:14+02:00,22.51
2017-09-02T17:23:14+00:00,2017-09-02T19:23:14+02:00,22.56
2017-09-02T17:38:15+00:00,2017-09-02T19:38:15+02:00,22.56
2017-09-02T17:53:15+00:00,2017-09-02T19:53:15+02:00,22.63
2017-09-02T18:08:15+00:00,2017-09-02T20:08:15+02:00,22.63
2017-09-02T18:23:15+00:00,2017-09-02T20:23:15+02:00,22.69
2017-09-02T18:38:15+00:00,2017-09-02T20:38:15+02:00,22.69
2017-09-02T18:53:15+00:00,2017-09-02T20:53:15+02:00,22.69
2017-09-02T19:08:15+00:00,2017-09-02T21:08:15+02:00,22.69
